,note,creation_date,reps
254,Машинное обучение\Нейросети\Линейный слой нейросети.md,2025-01-03 18:52:26.234289,0
255,Машинное обучение\Нейросети\Нейрон.md,2024-11-21 10:39:18.516991,0
256,Машинное обучение\Нейросети\Нейросети.md,2024-11-21 10:24:19.554212,0
257,Машинное обучение\Нейросети\Перцептрон.md,2024-11-21 10:26:27.124919,0
258,Машинное обучение\Нейросети\Подготовка данных.md,2025-01-02 18:09:20.585170,0
259,Машинное обучение\Нейросети\Полнота и сходимость нейросети.md,2024-11-21 10:24:55.133415,0
260,Машинное обучение\Нейросети\Рекуррентные нейросети.md,2024-11-21 10:36:30.350327,0
261,Машинное обучение\Нейросети\Сжатие модели.md,2025-01-15 08:54:45.366485,0
262,Машинное обучение\Нейросети\Создание нейросети.md,2025-01-03 18:21:46.108705,0
263,Машинное обучение\Нейросети\Сохранение модели.md,2025-01-03 19:13:59.107071,0
264,Машинное обучение\Нейросети\Трансформеры.md,2024-11-21 10:37:51.361888,0
265,Машинное обучение\Нейросети\Функция активации.md,2024-11-21 12:25:53.546616,0
266,Машинное обучение\Нейросети\Функция потерь.md,2024-11-19 15:14:20.645631,0
267,Машинное обучение\Нейросети\Компьютерное зрение\AlexNet.md,2024-12-29 20:39:52.863858,0
268,Машинное обучение\Нейросети\Компьютерное зрение\CNN + upsampling.md,2024-12-29 11:52:16.663973,0
269,Машинное обучение\Нейросети\Компьютерное зрение\CRF.md,2024-12-29 11:55:06.258518,0
270,Машинное обучение\Нейросети\Компьютерное зрение\Flatten.md,2025-01-05 13:43:20.255151,0
271,Машинное обучение\Нейросети\Компьютерное зрение\Fully-convolutional network.md,2024-12-29 11:50:22.543338,0
272,Машинное обучение\Нейросети\Компьютерное зрение\Pooling.md,2025-01-05 14:07:57.206538,0
273,Машинное обучение\Нейросети\Компьютерное зрение\ResNet.md,2024-12-29 20:55:23.974010,0
274,Машинное обучение\Нейросети\Компьютерное зрение\SegNet.md,2024-12-30 09:05:30.806639,0
275,Машинное обучение\Нейросети\Компьютерное зрение\Semantic segmentation.md,2024-12-29 11:38:12.283001,0
276,Машинное обучение\Нейросети\Компьютерное зрение\Transposed convolution.md,2024-12-30 08:58:59.693311,0
277,Машинное обучение\Нейросети\Компьютерное зрение\U-Net.md,2024-12-30 09:09:21.784584,0
278,Машинное обучение\Нейросети\Компьютерное зрение\upsampling.md,2024-12-29 11:57:55.919463,0
279,Машинное обучение\Нейросети\Компьютерное зрение\VGG.md,2024-12-29 20:42:07.097685,0
280,Машинное обучение\Нейросети\Компьютерное зрение\Генерация изображений.md,2024-12-29 11:34:22.614787,0
281,Машинное обучение\Нейросети\Компьютерное зрение\Генерация описания к изображению.md,2024-12-29 11:35:29.675868,0
282,Машинное обучение\Нейросети\Компьютерное зрение\Детекция.md,2024-12-29 11:25:30.672168,0
283,Машинное обучение\Нейросети\Компьютерное зрение\карта сегментации.md,2024-12-29 11:29:42.989134,0
284,Машинное обучение\Нейросети\Компьютерное зрение\Классификация.md,2024-12-29 11:25:21.211850,0
285,Машинное обучение\Нейросети\Компьютерное зрение\Компьютерное зрение.md,2024-12-29 11:23:20.834911,0
286,Машинное обучение\Нейросети\Компьютерное зрение\Оптическое распознавание символов.md,2024-12-29 11:36:03.327971,0
287,Машинное обучение\Нейросети\Компьютерное зрение\Перенос стиля.md,2024-12-29 11:32:50.114730,0
288,Машинное обучение\Нейросети\Компьютерное зрение\Поиск похожих картинок.md,2024-12-29 11:37:28.068317,0
289,Машинное обучение\Нейросети\Компьютерное зрение\Проблема затухания градиентов.md,2024-12-29 20:46:49.112804,0
290,Машинное обучение\Нейросети\Компьютерное зрение\Сверточная нейросеть.md,2024-12-29 11:56:52.097301,0
291,Машинное обучение\Нейросети\Компьютерное зрение\Сверточный слой.md,2025-01-05 13:19:44.042499,0
292,Машинное обучение\Нейросети\Компьютерное зрение\Сегментация.md,2024-12-29 11:25:37.825472,0
293,Машинное обучение\Нейросети\Компьютерное зрение\Скользящее окно.md,2024-12-29 11:45:28.911446,0
294,Машинное обучение\Нейросети\Обучение нейросети\Back Propogation.md,2024-11-21 10:36:03.992309,0
295,Машинное обучение\Нейросети\Обучение нейросети\Обучение нейросети.md,2025-01-02 17:49:13.677274,0
296,Машинное обучение\Нейросети\Обучение нейросети\Оптимизатор градиентного спуска.md,2025-01-02 19:59:39.718305,0
297,Машинное обучение\Нейросети\Обучение нейросети\Подбор количества слоев.md,2024-12-30 08:31:43.898448,0
298,Машинное обучение\Нейросети\Переобучение\Batch normalization.md,2024-11-21 19:11:19.548664,0
299,Машинное обучение\Нейросети\Переобучение\Dropout.md,2024-11-21 19:06:55.075207,0
300,Машинное обучение\Нейросети\Переобучение\Weight decay.md,2024-11-21 19:03:38.044915,0
301,Машинное обучение\Нейросети\Переобучение\Борьба с переобучением.md,2025-01-05 12:54:04.443216,0
302,Машинное обучение\Нейросети\Переобучение\Регуляризация в нейросетях.md,2024-11-21 19:01:34.976554,0
303,Машинное обучение\Обучение без учителя\Задача снижения размерности.md,2025-01-10 16:49:23.509375,0
